Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT5G19930	AT5G19930.1	PGR is putative plasma membrane glucose- responsive regulator that is expressed in response to glucose stimulation.RNAi knockdown mutant seeds have enhanced sensitivity to glucose and 2-deoxyglucose.	protein_coding	PLASMA MEMBRANE GLUCOSE-RESPONSIVE REGULATOR (PGR)	PLASMA MEMBRANE GLUCOSE-RESPONSIVE REGULATOR (PGR)	
AT4G21470	AT4G21470.1	Bifunctional enzyme that catalyzes hydrolysis of FMN to riboflavin, and phosphorylation of riboflavin to FMN. The mRNA is cell-to-cell mobile.	protein_coding	RIBOFLAVIN KINASE/FMN HYDROLASE (FMN/FHY)	RIBOFLAVIN KINASE/FMN HYDROLASE (ATFMN/FHY);RIBOFLAVIN KINASE/FMN HYDROLASE (FMN/FHY)	
AT5G02020	AT5G02020.1	Encodes a protein involved in salt tolerance, names SIS (Salt Induced Serine rich).	protein_coding	SALT INDUCED SERINE RICH (SIS)	SALT INDUCED SERINE RICH (SIS)	
AT3G10420	AT3G10420.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)	protein_coding	SEEDLING PLASTID DEVELOPMENT 1 (SPD1)	SEEDLING PLASTID DEVELOPMENT 1 (SPD1)	
AT4G36110	AT4G36110.1	SAUR-like auxin-responsive protein family;(source:Araport11)	protein_coding	SMALL AUXIN UPREGULATED RNA 9 (SAUR9)	SMALL AUXIN UPREGULATED RNA 9 (SAUR9)	
AT5G11110	AT5G11110.1	Encodes a sucrose-phosphate synthase involved in pollen exine formation. This is the dominant SPS isoform in leaves with respect to protein levels.	protein_coding	SUCROSE PHOSPHATE SYNTHASE 2F (SPS2F)	SUCROSE-PHOSPHATE SYNTHASE A2 (SPSA2);SUCROSE PHOSPHATE SYNTHASE 1 (SPS1);SUCROSE PHOSPHATE SYNTHASE 2F (SPS2F);KAONASHI 2 (KNS2);SUCROSE PHOSPHATE SYNTHASE 2F (ATSPS2F)	
AT4G02280	AT4G02280.1	Encodes a protein with sucrose synthase activity (SUS3). It appears to be important for sucrose metabolism in developing seeds, especially during the late maturation phase, about 18 days after flowering.	protein_coding	SUCROSE SYNTHASE 3 (SUS3)	 (ATSUS3);SUCROSE SYNTHASE 3 (SUS3)	
AT2G43510	AT2G43510.1	Member of the defensin-like (DEFL) family. Encodes putative trypsin inhibitor protein which may function in defense against herbivory.	protein_coding	TRYPSIN INHIBITOR PROTEIN 1 (TI1)	TRYPSIN INHIBITOR PROTEIN 1 (TI1);TRYPSIN INHIBITOR PROTEIN 1 (ATTI1)	
AT5G43580	AT5G43580.1	Predicted to encode a PR (pathogenesis-related) peptide that belongs to the PR-6 proteinase inhibitor family. Functions in resistance to necrotrophic fungi and insect herbivory. Six putative PR-6-type protein encoding genes are found in Arabidopsis: At2g38900, At2g38870, At5g43570, At5g43580, At3g50020 and At3g46860.	protein_coding	UNUSUAL SERINE PROTEASE INHIBITOR (UPI)	UNUSUAL SERINE PROTEASE INHIBITOR (UPI)	
AT4G23630	AT4G23630.1	VIRB2-interacting protein 1;(source:Araport11)	protein_coding	VIRB2-INTERACTING PROTEIN 1 (BTI1)	VIRB2-INTERACTING PROTEIN 1 (BTI1);RETICULON 1 (RTN1);RETICULAN LIKE PROTEIN B1 (RTNLB1)	
AT1G65730	AT1G65730.1	Arabidopsis thaliana metal-nicotianamine transporter YSL4	protein_coding	YELLOW STRIPE LIKE 7 (YSL7)	YELLOW STRIPE LIKE 7 (YSL7)	

